Timestamp,"SECTION A: Personal Information
Gender",Age,Martial status,Highest Educational qualification ,Year of business operation,My business has experienced consistent growth in sales revenue over the past year.,The number of customers patronizing my business has increased significantly in recent times.,My business enjoys strong brand recognition and awareness within Owo metropolis,My business has expanded its customer base beyond its immediate geographical location,A significant portion of my customers return to make repeat purchases,My business regularly posts valuable and relevant content on social media platforms to attract customers.,"The content(image, video ,text)my business shares on social media helps to build trust with my target audiences","
Consistent posting of content has increased customer interest in my business ",My social media content clearly communicate the value of my products\services,"
Social media content marketing helps my business stand out from competitors in Owo","
The business promptly responds to customer comment, message , and inquires on-social media",Interacting with customers on social media has strengthened my relationship with them,"
Customers frequently like, comment on, and share my business posts","
Engaging with customers on social media has encouraged them to rem loyalty",Social media engagement provides valuable feedback that improves my products and services,"
Satisfied customers recommend my business through social media posts and comment",Positive online reviews have attracted have new customers to my business ,Customers trust opinions and about shared by others about my business on social media ,Negative reviews on social media affect customers perfection and patronage,"Shares ,tags and recommendations have increased awareness of my business in Owo "
2026/04/23 6:28:02 PM GMT+1,Female,Less than 20 years,Single,Primary school certificate/ SSCE,Less than a year,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/23 6:34:34 PM GMT+1,Female,Less than 20 years,Single,Primary school certificate/ SSCE,Less than a year,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/24 7:35:28 AM GMT+1,Female,51years and above,Single,B.Sc/ HND,Less than a year,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree
2026/04/26 11:56:49 AM GMT+1,Female,41-50 years,Married,Primary school certificate/ SSCE,7-10 years,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree
2026/04/26 11:59:36 AM GMT+1,Female,21-30 years,Single,B.Sc/ HND,1-3 years,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree
2026/04/26 7:17:57 PM GMT+1,Female,31-40 years,Married,Postgraduate,4-6 years,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
2026/04/26 7:23:38 PM GMT+1,Female,31-40 years,Widowed,Primary school certificate/ SSCE,4-6 years,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
2026/04/27 9:12:48 AM GMT+1,Male,41-50 years,Single,ND/ NCE,Less than a year,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree
2026/04/28 2:40:26 PM GMT+1,Male,21-30 years,Single,B.Sc/ HND,Less than a year,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree
2026/04/28 2:43:01 PM GMT+1,Female,21-30 years,Single,ND/ NCE,4-6 years,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
2026/04/28 2:44:18 PM GMT+1,Male,21-30 years,Single,B.Sc/ HND,4-6 years,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
2026/04/28 5:10:50 PM GMT+1,Female,21-30 years,Single,B.Sc/ HND,1-3 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2026/04/30 11:05:05 AM GMT+1,Male,21-30 years,Single,Primary school certificate/ SSCE,1-3 years,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
2026/04/30 11:06:37 AM GMT+1,Female,21-30 years,Single,Primary school certificate/ SSCE,1-3 years,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree
2026/04/30 11:08:19 AM GMT+1,Male,21-30 years,Single,Primary school certificate/ SSCE,1-3 years,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree
