Timestamp,"SECTION A: DEMOGRAPHIC INFORMATION

Gender",Age,Position in business,Type of business,Years of operation ,My business has active social media accounts,We regularly update our social media pages,We respond promptly to customer messages online,Our social media platforms increase our visibility,Customers easily find our business through social media,My business uses paid advertising on social media,Social media ads help us reach our target customers,Social media advertising increases our sales,We allocate part of our budget to online advertising,Social media advertising gives better results than traditional marketing,We post content regularly on our social media platforms,Our content is engaging and attracts customers,We use images/videos to promote our products/services by,Our content reflects our brand identity clearly,Quality content helps us retain customers,Our business performs better than competitors,We have gained more customers through social media,Our brand is well recognized in the market,Social media has improved our profitability,We maintain strong customer loyalty compared to competitors,
2026/04/22 10:37:22 AM GMT+1,Male,18-25,Owner,Services,1-5 years,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,
2026/04/22 10:38:12 AM GMT+1,Female,18-25,Owner,Trading,1-5 years,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,
2026/04/22 10:38:12 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:38:21 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,
2026/04/22 10:38:35 AM GMT+1,Female,18-25,Owner,Others,1-5 years,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,
2026/04/22 10:39:05 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:40:01 AM GMT+1,Female,18-25,Owner,Trading,Below 1 year,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,
2026/04/22 10:40:37 AM GMT+1,Female,18-25,Owner,Others,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,
2026/04/22 10:41:38 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:41:47 AM GMT+1,Male,18-25,Owner,Trading,6-10 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:43:21 AM GMT+1,Female,18-25,Owner,Trading,Below 1 year,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,
2026/04/22 10:43:40 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:44:40 AM GMT+1,Male,18-25,Supervisor,Trading,Below 1 year,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:45:36 AM GMT+1,Male,26-35,Manager,Others,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,
2026/04/22 10:46:43 AM GMT+1,Female,18-25,Owner,Trading,Below 1 year,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:47:37 AM GMT+1,Female,18-25,Manager,Services,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:47:48 AM GMT+1,Female,18-25,Owner,Others,1-5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:48:00 AM GMT+1,Male,18-25,Owner,Services,1-5 years,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:51:59 AM GMT+1,Male,46 and above,Manager,Others,Above 10 years,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:59:48 AM GMT+1,Male,18-25,Owner,Others,1-5 years,Agree,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,
2026/04/22 11:00:30 AM GMT+1,Male,46 and above,Owner,Services,6-10 years,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,
2026/04/22 11:03:19 AM GMT+1,Male,46 and above,Manager,Services,Above 10 years,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 11:03:30 AM GMT+1,Male,18-25,Owner,Others,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,
2026/04/22 11:04:56 AM GMT+1,Female,18-25,Manager,Trading,1-5 years,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,
2026/04/22 11:04:58 AM GMT+1,Female,18-25,Owner,Others,6-10 years,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
2026/04/22 11:08:43 AM GMT+1,Female,36-45,Owner,Others,1-5 years,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 11:19:12 AM GMT+1,Male,18-25,Owner,Others,1-5 years,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,
2026/04/22 11:20:31 AM GMT+1,Male,18-25,Owner,Trading,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,
2026/04/22 11:20:47 AM GMT+1,Male,46 and above,Supervisor,Others,Above 10 years,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 11:21:12 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,
2026/04/22 11:21:19 AM GMT+1,Female,18-25,Manager,Trading,1-5 years,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,
2026/04/22 11:22:26 AM GMT+1,Female,18-25,Owner,Trading,Below 1 year,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,
2026/04/22 11:27:37 AM GMT+1,Male,46 and above,Owner,Others,Above 10 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 11:28:41 AM GMT+1,Male,18-25,Manager,Trading,1-5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,
2026/04/22 11:30:34 AM GMT+1,Female,26-35,Owner,Services,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Neutral,
2026/04/22 11:31:53 AM GMT+1,Male,46 and above,Owner,Trading,1-5 years,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,
2026/04/22 11:34:14 AM GMT+1,Female,46 and above,Owner,Others,Above 10 years,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,
2026/04/22 11:35:38 AM GMT+1,Female,18-25,Owner,Services,Below 1 year,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,
2026/04/22 11:38:10 AM GMT+1,Male,18-25,Owner,Trading,6-10 years,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 11:42:59 AM GMT+1,Female,18-25,Manager,Trading,Below 1 year,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,
2026/04/22 11:44:11 AM GMT+1,Male,18-25,Owner,Trading,1-5 years,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,
2026/04/22 11:56:46 AM GMT+1,Male,18-25,Owner,Trading,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 11:57:58 AM GMT+1,Male,26-35,Supervisor,Trading,6-10 years,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,
2026/04/22 12:11:43 PM GMT+1,Female,36-45,Owner,Others,6-10 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,
2026/04/22 12:28:55 PM GMT+1,Female,36-45,Owner,Trading,1-5 years,Agree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,
2026/04/22 12:34:34 PM GMT+1,Male,18-25,Manager,Trading,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,
2026/04/22 12:41:05 PM GMT+1,Female,46 and above,Owner,Trading,1-5 years,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,
2026/04/22 12:58:53 PM GMT+1,Male,18-25,Owner,Trading,Below 1 year,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,
2026/04/22 1:14:48 PM GMT+1,Female,46 and above,Manager,Others,6-10 years,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 1:31:17 PM GMT+1,Male,18-25,Supervisor,Others,1-5 years,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,
2026/04/22 1:34:55 PM GMT+1,Male,18-25,Supervisor,Others,1-5 years,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,
2026/04/22 2:13:13 PM GMT+1,Male,18-25,Owner,Services,Below 1 year,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 2:17:13 PM GMT+1,Female,18-25,Owner,Trading,Below 1 year,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,
2026/04/22 2:18:54 PM GMT+1,Female,36-45,Owner,Trading,1-5 years,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 2:20:02 PM GMT+1,Male,18-25,Owner,Others,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,
2026/04/22 2:32:42 PM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 2:42:51 PM GMT+1,Male,18-25,Owner,Trading,1-5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,
2026/04/22 3:06:33 PM GMT+1,Male,18-25,Owner,Trading,Below 1 year,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,
2026/04/22 3:13:47 PM GMT+1,Male,26-35,Manager,Trading,1-5 years,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,
2026/04/22 3:21:45 PM GMT+1,Female,18-25,Owner,Trading,1-5 years,Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
2026/04/22 3:27:18 PM GMT+1,Female,46 and above,Owner,Trading,Above 10 years,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 3:53:43 PM GMT+1,Male,46 and above,Owner,Others,6-10 years,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,
2026/04/22 4:14:01 PM GMT+1,Female,18-25,Owner,Services,Below 1 year,Disagree,Disagree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,
2026/04/22 4:24:59 PM GMT+1,Female,36-45,Owner,Trading,Above 10 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 4:26:58 PM GMT+1,Female,18-25,Owner,Services,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 4:39:40 PM GMT+1,Male,36-45,Supervisor,Others,Above 10 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 5:49:21 PM GMT+1,Female,36-45,Owner,Trading,6-10 years,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
2026/04/22 6:13:29 PM GMT+1,Female,26-35,Owner,Others,6-10 years,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,
2026/04/22 6:19:55 PM GMT+1,Female,26-35,Supervisor,Others,Below 1 year,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 6:22:13 PM GMT+1,Female,18-25,Owner,Trading,Below 1 year,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,
2026/04/22 6:28:06 PM GMT+1,Female,26-35,Owner,Others,1-5 years,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,
2026/04/22 6:48:15 PM GMT+1,Female,36-45,Manager,Services,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,
2026/04/22 7:23:00 PM GMT+1,Male,46 and above,Owner,Others,Above 10 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 7:39:48 PM GMT+1,Female,26-35,Owner,Trading,1-5 years,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 7:41:41 PM GMT+1,Male,18-25,Supervisor,Others,Below 1 year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 7:43:25 PM GMT+1,Female,26-35,Owner,Trading,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,
2026/04/22 7:54:56 PM GMT+1,Male,18-25,Owner,Others,Below 1 year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,
2026/04/22 7:56:15 PM GMT+1,Male,18-25,Owner,Trading,Below 1 year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 8:57:02 PM GMT+1,Female,36-45,Owner,Services,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,
2026/04/22 9:13:22 PM GMT+1,Female,26-35,Manager,Others,1-5 years,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:00:54 PM GMT+1,Female,26-35,Manager,Others,1-5 years,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,
