"Timestamp","SECTION A: Personal Information 
Gender","Age","Martial status ","Work experience ","Highest Educational Qualification ","Procurement cycles (advert to award) are completed within planned timelines","Contract awards generally achieve value for money.","Completed projects meet specified quality standards.","Competitive, open tendering is the dominant method for project awards."," Variation orders and cost overruns are frequent in SUBEB projects.","Project allocations are sufficient relative to approved work plans.
","
Capital projects are routinely underfunded compared to engineers’ estimates.","Budget shortfalls force scope reductions or phasing of projects.","Allocations cover key inputs (materials, supervision, contingencies) adequately.","Thin allocations discourage capable contractors from bidding.","Funds are released according to the planned cash-flow schedule.","Late fund releases disrupt procurement timelines and contractor mobilization.","Payment delays to contractors increase claims and project costs.","Within-year cash releases are predictable across quarters. ","Delays in cash backing lead to idle time and remobilization on sites.","Actual releases closely match approved budget lines.","Deviations between approved and released funds are common.","Frequent budget revisions mid-year weaken procurement planning.","Suppliers can rely on SUBEB’s payment predictability","Gaps between planned and actual funding reduce bidder confidence.","The state budget is usually approved before the fiscal year begins.","Late budget approval compresses implementation timelines.","Delayed approval triggers emergency or rushed procurement decisions.","Project start-up is postponed due to approval delays.","Approval lags contribute to bunching of procurements late in the year."
"2025/10/01 1:27:52 AM GMT+1","Male","31-40","Single","1-5 years","B.Sc. /HND","Agree","Not sure","Not sure","Disagree","Agree","Agree","Not sure","Agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Not sure","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2025/10/01 2:53:18 AM GMT+1","Female","31-40","Married","6-10 years","B.Sc. /HND","Disagree","Agree","Strongly agree","Agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree"
"2025/10/01 2:58:18 AM GMT+1","Female","31-40","Married","11-15years","B.Sc. /HND","Agree","Strongly agree","Strongly agree","Agree","Not sure","Strongly agree","Not sure","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Agree","Strongly agree","Not sure","Agree","Not sure","Strongly agree","Not sure","Strongly agree","Strongly agree"
"2025/10/01 4:02:53 AM GMT+1","Male","51 and above","Married","20 years and above","Postgraduate","Agree","Agree","Agree","Agree","Not sure","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Not sure","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree"
"2025/10/01 4:09:29 AM GMT+1","Male","41-50","Married","11-15years","Postgraduate","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Disagree","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Agree","Agree","Not sure","Agree","Not sure"
"2025/10/01 6:08:50 AM GMT+1","Male","31-40","Single","16-20 years","B.Sc. /HND","Not sure","Disagree","Disagree","Agree","Agree","Not sure","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Not sure","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree"
"2025/10/01 7:25:40 AM GMT+1","Male","41-50","Married","11-15years","Postgraduate","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Not sure","Agree","Strongly agree","Agree","Agree","Not sure","Strongly agree","Strongly agree","Agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree"
"2025/10/01 7:38:51 AM GMT+1","Male","41-50","Married","20 years and above","B.Sc. /HND","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Not sure","Not sure","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly agree"
"2025/10/01 7:55:58 AM GMT+1","Male","31-40","Married","11-15years","B.Sc. /HND","Agree","Agree","Agree","Strongly agree","Not sure","Agree","Not sure","Agree","Agree","Not sure","Agree","Agree","Agree","Not sure","Agree","Not sure","Not sure","Agree","Not sure","Agree","Agree","Agree","Not sure","Agree","Agree"
"2025/10/01 7:56:23 AM GMT+1","Female","41-50","Married","6-10 years","Postgraduate","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Not sure","Not sure","Agree","Agree","Agree","Strongly agree","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Not sure","Agree","Disagree","Agree","Agree","Agree","Agree"
"2025/10/01 8:37:38 AM GMT+1","Female","41-50","Married","6-10 years","Postgraduate","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Not sure","Agree","Strongly agree","Agree","Agree","Agree","Agree"
"2025/10/01 8:55:24 AM GMT+1","Male","41-50","Married","16-20 years","B.Sc. /HND","Agree","Agree","Agree","Agree","Not sure","Agree","Agree","Not sure","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2025/10/01 9:26:39 AM GMT+1","Male","41-50","Married","11-15years","B.Sc. /HND","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2025/10/01 9:54:13 AM GMT+1","Male","31-40","Married","6-10 years","Postgraduate","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Agree","Agree","Agree","Disagree","Agree","Agree","Not sure","Agree","Agree","Agree","Not sure","Not sure","Notvsure","Agree","Agree","Agree","Agree","Agree"
"2025/10/01 9:55:20 AM GMT+1","Female","41-50","Married","20 years and above","Postgraduate","Disagree","Agree","Disagree","Disagree","Agree","Not sure","Strongly agree","Agree","Agree","Strongly agree","Not sure","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Not sure","Disagree","Agree","Agree","Agree"
"2025/10/01 10:46:43 AM GMT+1","Male","31-40","Married","11-15years","Postgraduate","Agree","Disagree","Disagree","Agree","Strongly agree","Disagree","Not sure","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2025/10/01 1:40:54 PM GMT+1","Male","21-30","Married","11-15years","Postgraduate","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly disagree","Not sure","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree"
"2025/10/01 2:17:51 PM GMT+1","Female","31-40","Married","1-5 years","B.Sc. /HND","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Agree","Agree","Disagree","Not sure","Not sure","Agree","Disagree","Agree","Agree","Agree","Agree"
"2025/10/01 6:12:36 PM GMT+1","Male","41-50","Married","11-15years","Postgraduate","Strongly agree","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Not sure","Agree","Disagree","Agree","Not sure","Disagree","Agree","Agree","Agree","Not sure","Not sure","Agree","Disagree","Not sure","Agree","Agree","Agree","Not sure"
"2025/10/01 10:25:02 PM GMT+1","Male","41-50","Married","11-15years","Postgraduate","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Not sure","Agree","Disagree","Agree","Agree","Strongly agree","Strongly disagree","Notvsure","Agree","Agree","Strongly agree","Agree","Strongly agree"
"2025/10/01 11:38:05 PM GMT+1","Female","51 and above","Married","20 years and above","Postgraduate","Disagree","Strongly Disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Not sure","Agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2025/10/02 1:28:59 PM GMT+1","Female","41-50","Married","11-15years","B.Sc. /HND","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Not sure","Disagree","Not sure","Agree","Not sure","Strongly agree","Agree","Agree","Not sure","Strongly agree","Agree","Disagree","Disagree","Disagree","Notvsure","Strongly agree","Not sure","Agree","Strongly agree","Agree"
"2025/10/02 4:43:48 PM GMT+1","Male","41-50","Married","11-15years","B.Sc. /HND","Not sure","Disagree","Disagree","Disagree","Not sure","Not sure","Not sure","Agree","Disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Not sure","Agree","Not sure","Agree","Agree","Agree","Agree","Not sure","Agree","Agree","Agree","Agree"
"2025/10/02 5:18:28 PM GMT+1","Female","41-50","Married","1-5 years","Postgraduate","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree"
"2025/10/02 7:32:33 PM GMT+1","Male","31-40","Single","6-10 years","B.Sc. /HND","Agree","Not sure","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Agree"
"2025/10/02 9:29:59 PM GMT+1","Male","31-40","Married","11-15years","B.Sc. /HND","Not sure","Agree","Disagree","Not sure","Not sure","Agree","Not sure","Not sure","Agree","Not sure","Agree","Disagree","Agree","Agree","Not sure","Agree","Not sure","Disagree","Agree","Notvsure","Strongly agree","Agree","Agree","Not sure","Not sure"
"2025/10/03 4:12:12 PM GMT+1","Female","21-30","Single","1-5 years","B.Sc. /HND","Disagree","Agree","Agree","Not sure","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly Disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree"
"2025/10/04 2:55:29 AM GMT+1","Male","41-50","Married","11-15years","B.Sc. /HND","Agree","Agree","Agree","Agree","Not sure","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Disagree","Agree","Not sure","Not sure","Agree","Disagree","Agree","Agree","Agree","Strongly agree"
