Timestamp,Gender,Age,Staff Category,Years of service in Achievers University ,There is open communication among staff in my department/unit.,Team members share relevant information freely.,Management communicates innovation-related goals clearly.,Feedback is encouraged within teams,Effective communication improves teamwork in this university.,The university encourages new ideas from staff.,Innovative teaching or administrative practices are supported.,Staff are encouraged to suggest improvements.,Organisational productivity at Achievers University has improved over the past few years.,The university adapts quickly to changes in the education sector.,Staff work together to solve institutional problems,Teaching and non-teaching staff collaborate effectively.,Teams support one another in achieving tasks,Inter-departmental collaboration is encouraged.,Collaboration enhances performance in my unit.,Collaboration enhances performance in my unit.,Team members work towards common objectives.,Goals are clearly defined within my department/unit.,There is alignment between personal goals and university goals.,Shared goals improve team effectiveness.
2026/05/04 1:14:43 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree
2026/05/04 1:34:41 PM GMT+1,Female,20-29 years,Teaching,Less than 5 years,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree
2026/05/04 1:39:56 PM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly Disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly disagree,Neutral,Neutral
2026/05/04 4:11:27 PM GMT+1,Male,40-49 years,Teaching,Less than 5 years,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
2026/05/04 4:35:27 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral
2026/05/04 4:37:27 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
2026/05/04 4:37:32 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
2026/05/04 4:38:40 PM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree
2026/05/04 5:33:03 PM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral
2026/05/04 11:02:53 PM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
2026/05/05 12:18:32 AM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
2026/05/05 12:19:04 AM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/05/05 1:04:16 AM GMT+1,Male,20-29 years,Non teaching,16 and above,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2026/05/05 7:11:21 AM GMT+1,Male,30-39 years,Non teaching,5-10 years,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
2026/05/05 8:20:35 AM GMT+1,Female,20-29 years,Non teaching,Less than 5 years,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree
2026/05/05 9:40:15 AM GMT+1,Male,20-29 years,Non teaching,Less than 5 years,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree
2026/05/05 12:49:20 PM GMT+1,Female,30-39 years,Teaching,Less than 5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree
